integration,package,min_version,max_version
AdoNet,netstandard,2.0.0,2.x
AdoNet,System.Data.Common,4.0.0,4.x
AdoNet,System.Data.SqlClient,4.1.0,4.x
Aerospike,Aerospike.Client,4.0.3,8.x
AspNetCore,Microsoft.AspNetCore.Authentication.Abstractions,2.0.0,2.x
AspNetCore,Microsoft.AspNetCore.Http,2.0.0,9.x
AspNetCore,Microsoft.AspNetCore.Http.Abstractions,2.2.0,2.x
AspNetCore,Microsoft.AspNetCore.Identity,2.0.0,2.x
AspNetCore,Microsoft.AspNetCore.Mvc.Core,2.0.0,2.x
AspNetCore,Microsoft.AspNetCore.Server.IIS,2.2.0,2.x
AspNetCore,Microsoft.AspNetCore.Server.Kestrel.Core,2.0.0,2.x
AspNetCore,Microsoft.AspNetCore.Session,2.0.0,2.x
AspNetCore,Microsoft.AspNetCore.StaticFiles,2.0.0,2.x
AspNetCore,Microsoft.Extensions.Identity.Core,2.0.0,9.x
AwsDynamoDb,AWSSDK.DynamoDBv2,3.1.5.3,4.x
AwsEventBridge,AWSSDK.EventBridge,3.3.102.16,4.x
AwsKinesis,AWSSDK.Kinesis,3.1.3.5,4.x
AwsLambda,Amazon.Lambda.RuntimeSupport,1.13.1,1.x
AwsS3,AWSSDK.S3,3.3.113.2,4.x
AwsSdk,AWSSDK.Core,3.1.11,4.x
AwsSns,AWSSDK.SimpleNotificationService,3.1.2.1,4.x
AwsSqs,AWSSDK.SQS,3.1.0.13,4.x
AwsStepFunctions,AWSSDK.StepFunctions,3.3.104.87,4.x
AzureFunctions,Microsoft.Azure.Functions.Worker.Core,1.4.0,2.x
AzureFunctions,Microsoft.Azure.WebJobs,3.0.0,3.x
AzureFunctions,Microsoft.Azure.WebJobs.Script.Grpc,4.0.0,4.x
AzureFunctions,Microsoft.Azure.WebJobs.Script.WebHost,3.0.0,4.x
AzureServiceBus,Azure.Messaging.ServiceBus,7.4.0,7.x
CosmosDb,Microsoft.Azure.Cosmos,3.6.0,3.x
Couchbase,CouchbaseNetClient,2.4.8,3.x
DatadogTraceManual,Datadog.Trace.Manual,3.0.0,3.x
DatadogTraceManual,Datadog.Trace.OpenTracing,3.0.0,3.x
DotnetTest,coverlet.core,3.0.0,6.x
DotnetTest,dotnet,2.0.0,9.x
DotnetTest,Microsoft.VisualStudio.TraceDataCollector,15.0.0,15.x
DotnetTest,vstest.console,15.0.0,15.x
DotnetTest,vstest.console.arm64,15.0.0,15.x
ElasticsearchNet,Elasticsearch.Net,5.3.1,7.x
GraphQL,GraphQL,4.1.0,8.x
GraphQL,GraphQL.SystemReactive,4.0.0,4.x
Grpc,Google.Protobuf,3.12.4,3.x
Grpc,Grpc,2.29.0,2.x
Grpc,Grpc.AspNetCore,2.29.0,2.x
Grpc,Grpc.AspNetCore,2.29.0,2.x
HashAlgorithm,System.Security.Cryptography,7.0.0,9.x
HashAlgorithm,System.Security.Cryptography.Primitives,1.0.0,6.x
HotChocolate,HotChocolate.AspNetCore,11.3.8,15.x
HttpMessageHandler,System.Net.Http,4.0.0,4.x
HttpMessageHandler,System.Net.Http.WinHttpHandler,4.0.0,9.x
HttpMessageHandler,Yarp.ReverseProxy,1.0.1,2.x
IbmMq,IBMMQDotnetClient,9.1.4,9.x
ILogger,Microsoft.Extensions.Logging,2.0.0,9.x
ILogger,Microsoft.Extensions.Logging.Abstractions,2.0.0,9.x
ILogger,Microsoft.Extensions.Telemetry,8.10.0,9.x
Kafka,Confluent.Kafka,1.4.4,2.x
Log4Net,log4net,1.2.11,3.x
MongoDb,MongoDB.Driver,2.0.2,3.x
MongoDb,MongoDB.Driver,2.0.2,3.x
MongoDb,MongoDB.Driver.Core,2.1.0,2.x
MsTestV2,Microsoft.TestPlatform.CrossPlatEngine,14.0.0,15.x
MsTestV2,Microsoft.VisualStudio.TestPlatform,14.0.0,14.x
MsTestV2,MSTest.TestAdapter,1.1.11,3.x
MsTestV2,MSTest.TestAdapter,1.1.11,3.x
MySql,MySql.Data,6.7.9,9.x
MySql,MySqlConnector,0.61.0,2.x
NLog,NLog,1.0.0.505,6.x
Npgsql,Npgsql,4.1.14,9.x
NUnit,NUnit,3.6.1,4.x
Oracle,Oracle.DataAccess,4.122.0,4.x
Oracle,Oracle.ManagedDataAccess,12.1.21,23.x
Process,System,1.0.0,9.x
Process,System.Diagnostics.Process,1.0.0,9.x
RabbitMQ,RabbitMQ.Client,3.6.9,7.x
Selenium,Selenium.WebDriver,4.0.1,4.x
Serilog,Serilog,1.4.214,4.x
ServiceStackRedis,ServiceStack.Redis,4.5.14,8.x
SqlClient,Microsoft.Data.SqlClient,1.1.4,6.x
SqlClient,Microsoft.Data.Sqlite,2.3.0,9.x
SqlClient,System.Data.SqlClient,4.1.0,4.x
SqlClient,System.Data.SQLite,1.0.66.1,1.x
Ssrf,RestSharp,104.0.0,112.x
StackExchangeRedis,StackExchange.Redis,1.0.488,2.x
StackExchangeRedis,StackExchange.Redis.StrongName,1.0.312,1.x
StackTraceLeak,Microsoft.AspNetCore.Diagnostics,2.0.0,2.x
TestPlatformAssemblyResolver,Microsoft.TestPlatform.PlatformAbstractions,15.0.0,15.x
WebRequest,System.Net.Requests,4.0.0,4.x
Xss,Microsoft.AspNetCore.Html.Abstractions,1.0.0,2.x
XUnit,xunit,2.2.0,2.x
XUnit,xunit.extensibility.execution,2.2.0,2.x
XUnit,xunit.v3,2.0.3,3.x
